Language,ISO 639-3 Code,Type
"<a href=""https://en.wikipedia.org/wiki/%C7%80Xam_language"" target=""_blank"">ǀXam</a>",xam,Extinct
"<a href=""https://en.wikipedia.org/wiki/%C7%81Xegwi_language"" target=""_blank"">ǁXegwi</a>",xeg,Extinct
"<a href=""https://en.wikipedia.org/wiki/%C7%82%E2%80%99Amkoe_language"" target=""_blank"">ǂ’Amkoe</a>",huc,Living
"<a href=""https://en.wikipedia.org/wiki/Aari_language"" target=""_blank"">Aari</a>",aiw,Living
"<a href=""https://en.wikipedia.org/wiki/Asa_language"" target=""_blank"">Aasáx</a>",aas,Living
"<a href=""https://en.wikipedia.org/wiki/Abadi_language"" target=""_blank"">Abadi</a>",kbt,Living
"<a href=""https://en.wikipedia.org/wiki/Abaga_language"" target=""_blank"">Abaga</a>",abg,Living
"<a href=""https://en.wikipedia.org/wiki/Sungai_language"" target=""_blank"">Abai Sungai</a>",abf,Living
"<a href=""https://en.wikipedia.org/wiki/Abanyom_language"" target=""_blank"">Abanyom</a>",abm,Living
"<a href=""https://en.wikipedia.org/wiki/Mungbam_language"" target=""_blank"">Abar</a>",mij,Living
"<a href=""https://en.wikipedia.org/wiki/Abau_language"" target=""_blank"">Abau</a>",aau,Living
"<a href=""https://en.wikipedia.org/wiki/Abaza_language"" target=""_blank"">Abaza</a>",abq,Living
"<a href=""https://en.wikipedia.org/wiki/Ab%C3%A9_language"" target=""_blank"">Abé</a>",aba,Living
"<a href=""https://en.wikipedia.org/wiki/Abellen_language"" target=""_blank"">Abellen Ayta</a>",abp,Living
"<a href=""https://en.wikipedia.org/wiki/Abidji_language"" target=""_blank"">Abidji</a>",abi,Living
"<a href=""https://en.wikipedia.org/wiki/Abinomn_language"" target=""_blank"">Abinomn</a>",bsa,Living
"<a href=""https://en.wikipedia.org/wiki/Abip%C3%B3n_language"" target=""_blank"">Abipon</a>",axb,Extinct
"<a href=""https://en.wikipedia.org/wiki/Tequiraca_language"" target=""_blank"">Abishira</a>",ash,Extinct
"<a href=""https://en.wikipedia.org/wiki/Abkhaz_language"" target=""_blank"">Abkhazian</a>",abk,Living
"<a href=""https://en.wikipedia.org/wiki/Abom_language"" target=""_blank"">Abom</a>",aob,Living
"<a href=""https://en.wikipedia.org/wiki/Abon_language"" target=""_blank"">Abon</a>",abo,Living
"<a href=""https://en.wikipedia.org/wiki/Abron_dialect"" target=""_blank"">Abron</a>",abr,Living
"<a href=""https://en.wikipedia.org/wiki/Adjora_language"" target=""_blank"">Abu</a>",ado,Living
"<a href=""https://en.wikipedia.org/wiki/Abu%E2%80%99_Arapesh_language"" target=""_blank"">Abu' Arapesh</a>",aah,Living
"<a href=""https://en.wikipedia.org/wiki/Abua_language"" target=""_blank"">Abua</a>",abn,Living
"<a href=""https://en.wikipedia.org/wiki/Abui_language"" target=""_blank"">Abui</a>",abz,Living
"<a href=""https://en.wikipedia.org/wiki/Abun_language"" target=""_blank"">Abun</a>",kgr,Living
"<a href=""https://en.wikipedia.org/wiki/Abure_language"" target=""_blank"">Abure</a>",abu,Living
"<a href=""https://en.wikipedia.org/wiki/Abureni_language"" target=""_blank"">Abureni</a>",mgj,Living
"<a href=""https://en.wikipedia.org/wiki/Tlapanec_language"" target=""_blank"">Acatepec Me'phaa</a>",tpx,Living
"<a href=""https://en.wikipedia.org/wiki/Achawa_language"" target=""_blank"">Achagua</a>",aca,Living
"<a href=""https://en.wikipedia.org/wiki/Achang_language"" target=""_blank"">Achang</a>",acn,Living
"<a href=""https://en.wikipedia.org/wiki/List_of_lesser-known_Loloish_languages#Ache"" target=""_blank"">Ache</a>",yif,Living
"<a href=""https://en.wikipedia.org/wiki/Ach%C3%A9_language"" target=""_blank"">Aché</a>",guq,Living
"<a href=""https://en.wikipedia.org/wiki/Acheron_language"" target=""_blank"">Acheron</a>",acz,Living
"<a href=""https://en.wikipedia.org/wiki/Achi_language"" target=""_blank"">Achi</a>",acr,Living
"<a href=""https://en.wikipedia.org/wiki/Acehnese_language"" target=""_blank"">Achinese</a>",ace,Living
"<a href=""https://en.wikipedia.org/wiki/Achterhooks_dialect"" target=""_blank"">Achterhoeks</a>",act,Living
"<a href=""https://en.wikipedia.org/wiki/Shiwiar_language"" target=""_blank"">Achuar-Shiwiar</a>",acu,Living
"<a href=""https://en.wikipedia.org/wiki/Achumawi_language"" target=""_blank"">Achumawi</a>",acv,Living
"<a href=""https://en.wikipedia.org/wiki/Acholi_dialect"" target=""_blank"">Acoli</a>",ach,Living
"<a href=""https://en.wikipedia.org/wiki/Acro%C3%A1_language"" target=""_blank"">Acroá</a>",acs,Extinct
"<a href=""https://en.wikipedia.org/wiki/Wetarese_language"" target=""_blank"">Adabe</a>",adb,Living
"<a href=""https://en.wikipedia.org/wiki/Adai_language"" target=""_blank"">Adai</a>",xad,Extinct
"<a href=""https://en.wikipedia.org/wiki/Fula_language"" target=""_blank"">Adamawa Fulfulde</a>",fub,Living
"<a href=""https://en.wikipedia.org/wiki/Adamorobe_Sign_Language"" target=""_blank"">Adamorobe Sign Language</a>",ads,Living
"<a href=""https://en.wikipedia.org/wiki/Adang_language"" target=""_blank"">Adang</a>",adn,Living
"<a href=""https://en.wikipedia.org/wiki/Dangme_language"" target=""_blank"">Adangbe</a>",adq,Living
"<a href=""https://en.wikipedia.org/wiki/Dangme_language"" target=""_blank"">Adangme</a>",ada,Living
"<a href=""https://en.wikipedia.org/wiki/Adara_language"" target=""_blank"">Adara</a>",kad,Living
"<a href=""https://en.wikipedia.org/wiki/Isnag_language"" target=""_blank"">Adasen</a>",tiu,Living
"<a href=""https://en.wikipedia.org/wiki/Adele_language"" target=""_blank"">Adele</a>",ade,Living
"<a href=""https://en.wikipedia.org/wiki/Adhola_dialect"" target=""_blank"">Adhola</a>",adh,Living
"<a href=""https://en.wikipedia.org/wiki/Adi_language"" target=""_blank"">Adi</a>",adi,Living
"<a href=""https://en.wikipedia.org/wiki/Adjukru_language"" target=""_blank"">Adioukrou</a>",adj,Living
"<a href=""https://en.wikipedia.org/wiki/Adithinngithigh_language"" target=""_blank"">Adithinngithigh</a>",dth,Extinct
"<a href=""https://en.wikipedia.org/wiki/Odia_language"" target=""_blank"">Adivasi Oriya</a>",ort,Living
"<a href=""https://en.wikipedia.org/wiki/Bhili_language"" target=""_blank"">Adiwasi Garasia</a>",gas,Living
"<a href=""https://en.wikipedia.org/wiki/Adnyamathanha_language"" target=""_blank"">Adnyamathanha</a>",adt,Living
"<a href=""https://en.wikipedia.org/wiki/Adonara_language"" target=""_blank"">Adonara</a>",adr,Living
"<a href=""https://en.wikipedia.org/wiki/Aduge_language"" target=""_blank"">Aduge</a>",adu,Living
"<a href=""https://en.wikipedia.org/wiki/Adyghe_language"" target=""_blank"">Adyghe</a>",ady,Living
"<a href=""https://en.wikipedia.org/wiki/Adzera_language"" target=""_blank"">Adzera</a>",adz,Living
"<a href=""https://en.wikipedia.org/wiki/Orokaiva_language"" target=""_blank"">Aeka</a>",aez,Living
"<a href=""https://en.wikipedia.org/wiki/Awin_language"" target=""_blank"">Aekyom</a>",awi,Living
"<a href=""https://en.wikipedia.org/wiki/Aequian_language"" target=""_blank"">Aequian</a>",xae,Ancient
"<a href=""https://en.wikipedia.org/wiki/Aer_language"" target=""_blank"">Aer</a>",aeq,Living
"<a href=""https://en.wikipedia.org/wiki/Afade_language"" target=""_blank"">Afade</a>",aal,Living
"<a href=""https://en.wikipedia.org/wiki/Afar_language"" target=""_blank"">Afar</a>",aar,Living
"<a href=""https://en.wikipedia.org/wiki/Afghan_Sign_Language"" target=""_blank"">Afghan Sign Language</a>",afg,Living
"<a href=""https://en.wikipedia.org/wiki/Afitti_language"" target=""_blank"">Afitti</a>",aft,Living
"<a href=""https://en.wikipedia.org/wiki/Afrihili"" target=""_blank"">Afrihili</a>",afh,Constructed
"<a href=""https://en.wikipedia.org/wiki/Afrikaans"" target=""_blank"">Afrikaans</a>",afr,Living
"<a href=""https://en.wikipedia.org/wiki/Afro-Seminole_Creole"" target=""_blank"">Afro-Seminole Creole</a>",afs,Living
"<a href=""https://en.wikipedia.org/wiki/Agarabi_language"" target=""_blank"">Agarabi</a>",agd,Living
"<a href=""https://en.wikipedia.org/wiki/Agariya_language"" target=""_blank"">Agariya</a>",agi,Living
"<a href=""https://en.wikipedia.org/wiki/Agatu_language"" target=""_blank"">Agatu</a>",agc,Living
"<a href=""https://en.wikipedia.org/wiki/Agavotaguerra_language"" target=""_blank"">Agavotaguerra</a>",avo,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aghem_language"" target=""_blank"">Aghem</a>",agq,Living
